index,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE
5,OCBC DOVER MRT STATION,200,COMMONWEALTH AVENUE WEST,OCBC DOVER MRT STATION,200 COMMONWEALTH AVENUE WEST OCBC DOVER MRT STATION SINGAPORE 138677,138677,21916.61421,32632.597510000003,1.311391537,103.7786564,103.7786564
0,SEMBAWANG MRT STATION EXIT B,,NIL,SEMBAWANG MRT STATION EXIT B,SEMBAWANG MRT STATION EXIT B,NIL,26493.72832,47823.52387,1.4487733980000002,103.8197832,103.8197832
1,SEMBAWANG MRT STATION EXIT A,,NIL,SEMBAWANG MRT STATION EXIT A,SEMBAWANG MRT STATION EXIT A,NIL,26530.12833,47830.404819999996,1.448835628,103.8201103,103.8201103
2,SEMBAWANG MRT STATION EXIT C,,NIL,SEMBAWANG MRT STATION EXIT C,SEMBAWANG MRT STATION EXIT C,NIL,26491.387759999998,47867.55292,1.44917158,103.8197622,103.8197622
3,SEMBAWANG MRT STATION EXIT D,,NIL,SEMBAWANG MRT STATION EXIT D,SEMBAWANG MRT STATION EXIT D,NIL,26562.54083,47840.54468,1.448927331,103.8204016,103.8204016
4,SEMBAWANG MRT STATION (NS11),11,CANBERRA ROAD,SEMBAWANG MRT STATION (NS11),11 CANBERRA ROAD SEMBAWANG MRT STATION SINGAPORE 759775,759775,26522.98826,47854.19984,1.4490508219999998,103.82004609999998,103.82004609999998
5,OCBC SEMBAWANG MRT STATION,11,CANBERRA ROAD,OCBC SEMBAWANG MRT STATION,11 CANBERRA ROAD OCBC SEMBAWANG MRT STATION SINGAPORE 759775,759775,26533.3762,47851.5309,1.449026685,103.8201395,103.8201395
6,DBS SEMBAWANG MRT STATION,11,CANBERRA ROAD,DBS SEMBAWANG MRT STATION,11 CANBERRA ROAD DBS SEMBAWANG MRT STATION SINGAPORE 759775,759775,26533.3762,47851.5309,1.449026685,103.8201395,103.8201395
7,UOB SEMBAWANG MRT STATION,11,CANBERRA ROAD,UOB SEMBAWANG MRT STATION,11 CANBERRA ROAD UOB SEMBAWANG MRT STATION SINGAPORE 759775,759775,26533.3762,47851.5309,1.449026685,103.8201395,103.8201395
8,UOB SEMBAWANG MRT STATION AUTOLOBBY,11,CANBERRA ROAD,UOB SEMBAWANG MRT STATION AUTOLOBBY,11 CANBERRA ROAD UOB SEMBAWANG MRT STATION AUTOLOBBY SINGAPORE 759775,759775,26533.3762,47851.5309,1.449026685,103.8201395,103.8201395
0,KEMBANGAN MRT STATION EXIT B,,NIL,KEMBANGAN MRT STATION EXIT B,KEMBANGAN MRT STATION EXIT B,NIL,36856.54773,33711.94661,1.321152108,103.9128993,103.9128993
1,KEMBANGAN MRT STATION EXIT A,,NIL,KEMBANGAN MRT STATION EXIT A,KEMBANGAN MRT STATION EXIT A,NIL,36861.082089999996,33687.35103,1.320929673,103.91294,103.91294
2,KEMBANGAN MRT STATION (EW6),55,SIMS AVENUE EAST,KEMBANGAN MRT STATION (EW6),55 SIMS AVENUE EAST KEMBANGAN MRT STATION SINGAPORE 416551,416551,36861.961489999994,33699.34405,1.3210381340000001,103.9129479,103.9129479
3,DBS KEMBANGAN MRT STATION,55,SIMS AVENUE EAST,DBS KEMBANGAN MRT STATION,55 SIMS AVENUE EAST DBS KEMBANGAN MRT STATION SINGAPORE 416551,416551,36859.47017,33700.327430000005,1.321047028,103.9129255,103.9129255
4,OCBC KEMBANGAN MRT STATION,55,SIMS AVENUE EAST,OCBC KEMBANGAN MRT STATION,55 SIMS AVENUE EAST OCBC KEMBANGAN MRT STATION SINGAPORE 416551,416551,36859.25847,33701.59741,1.3210585129999999,103.91292359999998,103.91292359999998
5,UOB KEMBANGAN MRT STATION,55,SIMS AVENUE EAST,UOB KEMBANGAN MRT STATION,55 SIMS AVENUE EAST UOB KEMBANGAN MRT STATION SINGAPORE 416551,416551,36861.16348,33702.4441,1.32106617,103.91294079999999,103.91294079999999
0,BUKIT BATOK MRT STATION EXIT A,,NIL,BUKIT BATOK MRT STATION EXIT A,BUKIT BATOK MRT STATION EXIT A,NIL,18724.248059999998,36853.29795,1.34956122,103.74997009999998,103.74997009999998
1,BUKIT BATOK MRT STATION EXIT B,,NIL,BUKIT BATOK MRT STATION EXIT B,BUKIT BATOK MRT STATION EXIT B,NIL,18723.803480000002,36831.121439999995,1.349360664,103.7499662,103.7499662
2,BUKIT BATOK MRT STATION EXIT C,,NIL,BUKIT BATOK MRT STATION EXIT C,BUKIT BATOK MRT STATION EXIT C,NIL,18701.8848,36847.908039999995,1.349512469,103.7497692,103.7497692
3,BUKIT BATOK MRT STATION EXIT D,,NIL,BUKIT BATOK MRT STATION EXIT D,BUKIT BATOK MRT STATION EXIT D,NIL,18630.33988,36727.52833,1.3484237769999998,103.74912640000001,103.74912640000001
4,BUKIT BATOK MRT STATION (NS2),10,BUKIT BATOK CENTRAL,BUKIT BATOK MRT STATION (NS2),10 BUKIT BATOK CENTRAL BUKIT BATOK MRT STATION SINGAPORE 659958,659958,18679.32232,36794.92602,1.349033312,103.7495665,103.7495665
5,DBS BUKIT BATOK MRT STATION,10,BUKIT BATOK CENTRAL,DBS BUKIT BATOK MRT STATION,10 BUKIT BATOK CENTRAL DBS BUKIT BATOK MRT STATION SINGAPORE 659958,659958,18653.506390000002,36759.26631,1.348710811,103.7493345,103.7493345
6,DBS NTUC BUKIT BATOK MRT STATION,10,BUKIT BATOK CENTRAL,DBS NTUC BUKIT BATOK MRT STATION,10 BUKIT BATOK CENTRAL DBS NTUC BUKIT BATOK MRT STATION SINGAPORE 659958,659958,18653.506390000002,36759.26631,1.348710811,103.7493345,103.7493345
7,UOB BUKIT BATOK MRT STATION,10,BUKIT BATOK CENTRAL,UOB BUKIT BATOK MRT STATION,10 BUKIT BATOK CENTRAL UOB BUKIT BATOK MRT STATION SINGAPORE 659958,659958,18679.3541,36795.0141,1.349034109,103.7495668,103.7495668
8,OCBC BUKIT BATOK MRT STATION - FAIRPRICE,10,BUKIT BATOK CENTRAL,OCBC BUKIT BATOK MRT STATION - FAIRPRICE,10 BUKIT BATOK CENTRAL OCBC BUKIT BATOK MRT STATION - FAIRPRICE SINGAPORE 659958,659958,18671.06046,36783.7548,1.348932281,103.7494922,103.7494922
0,BOON LAY MRT STATION EXIT B,,NIL,BOON LAY MRT STATION EXIT B,BOON LAY MRT STATION EXIT B,NIL,13846.987809999999,35621.64372,1.338420696,103.70614549999999,103.70614549999999
1,BOON LAY MRT STATION EXIT C,,NIL,BOON LAY MRT STATION EXIT C,BOON LAY MRT STATION EXIT C,NIL,13825.831,35658.43727,1.338753433,103.7059554,103.7059554
2,BOON LAY MRT STATION EXIT A,,NIL,BOON LAY MRT STATION EXIT A,BOON LAY MRT STATION EXIT A,NIL,13764.6219,35606.56721,1.338284311,103.70540550000001,103.70540550000001
3,BOON LAY MRT STATION EXIT F,,NIL,BOON LAY MRT STATION EXIT F,BOON LAY MRT STATION EXIT F,NIL,13807.46418,35605.63631,1.338275912,103.70579040000001,103.70579040000001
4,BOON LAY MRT STATION EXIT E,,NIL,BOON LAY MRT STATION EXIT E,BOON LAY MRT STATION EXIT E,NIL,13758.39369,35632.66302,1.338520309,103.7053495,103.7053495
5,BOON LAY MRT STATION EXIT D,,NIL,BOON LAY MRT STATION EXIT D,BOON LAY MRT STATION EXIT D,NIL,13791.038019999998,35644.9343,1.338631301,103.70564279999999,103.70564279999999
6,BOON LAY MRT STATION (EW27),301,BOON LAY WAY,BOON LAY MRT STATION (EW27),301 BOON LAY WAY BOON LAY MRT STATION SINGAPORE 649846,649846,13837.982719999998,35641.91912,1.338604055,103.70606459999999,103.70606459999999
7,DBS BOON LAY MRT STATION,301,BOON LAY WAY,DBS BOON LAY MRT STATION,301 BOON LAY WAY DBS BOON LAY MRT STATION SINGAPORE 649846,649846,13840.2395,35642.61389,1.3386103390000001,103.70608490000001,103.70608490000001
8,OCBC BOON LAY MRT STATION,301,BOON LAY WAY,OCBC BOON LAY MRT STATION,301 BOON LAY WAY OCBC BOON LAY MRT STATION SINGAPORE 649846,649846,13820.919109999999,35633.83191,1.3385309090000002,103.7059113,103.7059113
9,UOB BOON LAY MRT STATION,301,BOON LAY WAY,UOB BOON LAY MRT STATION,301 BOON LAY WAY UOB BOON LAY MRT STATION SINGAPORE 649846,649846,13822.6755,35641.7357,1.338602389,103.7059271,103.7059271
0,BUKIT GOMBAK MRT STATION EXIT C,,NIL,BUKIT GOMBAK MRT STATION EXIT C,BUKIT GOMBAK MRT STATION EXIT C,NIL,18919.759009999998,37904.16959,1.35906498,103.7517266,103.7517266
1,BUKIT GOMBAK MRT STATION EXIT B,,NIL,BUKIT GOMBAK MRT STATION EXIT B,BUKIT GOMBAK MRT STATION EXIT B,NIL,18959.64126,37863.19032,1.35869439,103.752085,103.752085
2,BUKIT GOMBAK MRT STATION EXIT D,,NIL,BUKIT GOMBAK MRT STATION EXIT D,BUKIT GOMBAK MRT STATION EXIT D,NIL,18944.46323,37931.19303,1.359309377,103.75194859999999,103.75194859999999
3,BUKIT GOMBAK MRT STATION EXIT A,,NIL,BUKIT GOMBAK MRT STATION EXIT A,BUKIT GOMBAK MRT STATION EXIT A,NIL,18957.6772,37904.71675,1.35906994,103.7520673,103.7520673
4,BUKIT GOMBAK MRT STATION (NS3),802,BUKIT BATOK WEST AVENUE 5,BUKIT GOMBAK MRT STATION (NS3),802 BUKIT BATOK WEST AVENUE 5 BUKIT GOMBAK MRT STATION SINGAPORE 659083,659083,18926.9127,37854.03588,1.3586115909999998,103.7517909,103.7517909
5,UOB BUKIT GOMBAK MRT STATION,802,BUKIT BATOK WEST AVENUE 5,UOB BUKIT GOMBAK MRT STATION,802 BUKIT BATOK WEST AVENUE 5 UOB BUKIT GOMBAK MRT STATION SINGAPORE 659083,659083,18939.75871,37861.9934,1.35868356,103.7519063,103.7519063
6,DBS BUKIT GOMBAK MRT STATION,802,BUKIT BATOK WEST AVENUE 5,DBS BUKIT GOMBAK MRT STATION,802 BUKIT BATOK WEST AVENUE 5 DBS BUKIT GOMBAK MRT STATION SINGAPORE 659083,659083,18937.2546,37865.156189999994,1.3587121619999998,103.7518838,103.7518838
7,OCBC BUKIT GOMBAK MRT STATION,802,BUKIT BATOK WEST AVENUE 5,OCBC BUKIT GOMBAK MRT STATION,802 BUKIT BATOK WEST AVENUE 5 OCBC BUKIT GOMBAK MRT STATION SINGAPORE 659083,659083,18940.53581,37859.68919,1.358662721,103.7519133,103.7519133
0,MARSILING MRT STATION EXIT A,,NIL,MARSILING MRT STATION EXIT A,MARSILING MRT STATION EXIT A,NIL,21421.74266,46058.22242,1.432807925,103.77420670000001,103.77420670000001
1,MARSILING MRT STATION EXIT B,,NIL,MARSILING MRT STATION EXIT B,MARSILING MRT STATION EXIT B,NIL,21443.75569,46052.60783,1.432757153,103.7744045,103.7744045
2,MARSILING MRT STATION EXIT C,,NIL,MARSILING MRT STATION EXIT C,MARSILING MRT STATION EXIT C,NIL,21378.84085,46020.0413,1.4324626180000002,103.7738212,103.7738212
3,MARSILING MRT STATION EXIT D,,NIL,MARSILING MRT STATION EXIT D,MARSILING MRT STATION EXIT D,NIL,21396.701259999998,46052.61749,1.43275723,103.77398170000001,103.77398170000001
4,MARSILING MRT STATION (NS8),71,WOODLANDS AVENUE 3,MARSILING MRT STATION (NS8),71 WOODLANDS AVENUE 3 MARSILING MRT STATION SINGAPORE 739044,739044,21407.04132,46026.51253,1.432521149,103.77407459999999,103.77407459999999
5,DBS MARSILING MRT STATION,71,WOODLANDS AVENUE 3,DBS MARSILING MRT STATION,71 WOODLANDS AVENUE 3 DBS MARSILING MRT STATION SINGAPORE 739044,739044,21404.43261,46038.1104,1.432626035,103.7740512,103.7740512
6,UOB MARSILING MRT STATION,71,WOODLANDS AVENUE 3,UOB MARSILING MRT STATION,71 WOODLANDS AVENUE 3 UOB MARSILING MRT STATION SINGAPORE 739044,739044,21404.43261,46038.1104,1.432626035,103.7740512,103.7740512
7,DBS NTUC MARSILING MRT STATION,71,WOODLANDS AVENUE 3,DBS NTUC MARSILING MRT STATION,71 WOODLANDS AVENUE 3 DBS NTUC MARSILING MRT STATION SINGAPORE 739044,739044,21404.43261,46038.1104,1.432626035,103.7740512,103.7740512
0,BEDOK MRT STATION EXIT A,,NIL,BEDOK MRT STATION EXIT A,BEDOK MRT STATION EXIT A,NIL,38665.87769,33979.21811,1.3235686359999999,103.9291571,103.9291571
1,BEDOK MRT STATION EXIT B,,NIL,BEDOK MRT STATION EXIT B,BEDOK MRT STATION EXIT B,NIL,38723.29451,34056.590430000004,1.324268343,103.92967309999999,103.92967309999999
2,BEDOK MRT STATION EXIT C,,NIL,BEDOK MRT STATION EXIT C,BEDOK MRT STATION EXIT C,NIL,38692.60608,34036.309310000004,1.324084939,103.9293973,103.9293973
3,SUNGEI BEDOK MRT STATION (TE31 / DT37),,NIL,SUNGEI BEDOK MRT STATION (TE31 / DT37),SUNGEI BEDOK MRT STATION,NIL,41784.9899,33629.14833,1.320401487,103.9571838,103.9571838
4,BEDOK MRT STATION (EW5),315,NEW UPPER CHANGI ROAD,BEDOK MRT STATION (EW5),315 NEW UPPER CHANGI ROAD BEDOK MRT STATION SINGAPORE 467347,467347,38757.95205,34024.70478,1.323979969,103.9299845,103.9299845
5,UOB BEDOK MRT STATION,315,NEW UPPER CHANGI ROAD,UOB BEDOK MRT STATION,315 NEW UPPER CHANGI ROAD UOB BEDOK MRT STATION SINGAPORE 467347,467347,38772.05481,34027.1033,1.324001655,103.93011120000001,103.93011120000001
6,DBS BEDOK MRT STATION,315,NEW UPPER CHANGI ROAD,DBS BEDOK MRT STATION,315 NEW UPPER CHANGI ROAD DBS BEDOK MRT STATION SINGAPORE 467347,467347,38763.2919,34025.642810000005,1.32398845,103.9300325,103.9300325
0,JOO KOON MRT STATION EXIT A,,NIL,JOO KOON MRT STATION EXIT A,JOO KOON MRT STATION EXIT A,NIL,10772.99532,34414.67933,1.32750378,103.6785247,103.6785247
1,JOO KOON MRT STATION EXIT B,,NIL,JOO KOON MRT STATION EXIT B,JOO KOON MRT STATION EXIT B,NIL,10785.99079,34464.85792,1.3279575829999999,103.6786414,103.6786414
2,JOO KOON MRT STATION (EW29),91,JOO KOON CIRCLE,JOO KOON MRT STATION (EW29),91 JOO KOON CIRCLE JOO KOON MRT STATION SINGAPORE 629116,629116,10756.33797,34438.26178,1.3277170409999999,103.678375,103.678375
3,OCBC JOO KOON MRT STATION,91,JOO KOON CIRCLE,OCBC JOO KOON MRT STATION,91 JOO KOON CIRCLE OCBC JOO KOON MRT STATION SINGAPORE 629116,629116,10753.0595,34434.83641,1.3276860609999999,103.67834549999999,103.67834549999999
4,UOB JOO KOON MRT STATION,91,JOO KOON CIRCLE,UOB JOO KOON MRT STATION,91 JOO KOON CIRCLE UOB JOO KOON MRT STATION SINGAPORE 629116,629116,10741.31655,34435.20598,1.327689397,103.67824,103.67824
5,DBS JOO KOON MRT STATION,91,JOO KOON CIRCLE,DBS JOO KOON MRT STATION,91 JOO KOON CIRCLE DBS JOO KOON MRT STATION SINGAPORE 629116,629116,10724.0717,34435.75641,1.327694365,103.67808509999999,103.67808509999999
0,LAKESIDE MRT STATION EXIT B,,NIL,LAKESIDE MRT STATION EXIT B,LAKESIDE MRT STATION EXIT B,NIL,15507.2027,36246.829560000006,1.3440753769999998,103.7210633,103.7210633
